1,CQAR1001,A,1,1
2,CQAR1002,A,1,2
3,CQAR1003,A,1,3
4,CQAR1004,A,1,4
5,CQAR1005,A,1,5
6,CQAR1006,A,1,6
7,CQAR1007,A,1,7
8,CQAR2001,A,2,1
9,CQAR2002,A,2,2
10,CQAR2003,A,2,3
11,CQAR2004,A,2,4
12,CQAR2005,A,2,5
13,CQAR2006,A,2,6
14,CQAR2007,A,2,7
15,CQAR3001,A,3,1
16,CQAR3002,A,3,2
17,CQAR3003,A,3,3
18,CQAR3004,A,3,4
19,CQAR3005,A,3,5
20,CQAR3006,A,3,6
21,CQAR3007,A,3,7
